"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Austria","AUT","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","650","660","670","600","680","730","750","790","740","800","870","960","1080","1300","1220","1200","1390","1600","2900","3400","3200","3200","3100","3600","4000","4100","4060","4000","4500","4450","3126","3135","3140","3140","3103","2918","2949","3018","2909","3067","2847","2393","2333","2233","2267","2420","2503","2539","2087","2141","2167","2904.3","3125.5","3237","3390.3","3503.4","3483.4","3861.9","3991.6","4255.04","4541.91","4920.39","",
"Azerbaijan","AZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1690","1201","1038","516","419","364","211","216","140","95","80","130","350","500","600","900","1000","1000","1000","517","366.1","325","305","561","640","695","478","531.4","533","507","",
"Burundi","BDI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","21","25","24","25","30","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","17.3","61.7","160.4","385","805","1326","1400","1470","1550","1555","1450","1490","",
"Belgium","BEL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","12","20","32","90","147","203","255","310","440","530","600","700","735","675","846","846","846","846","846","946","846","846","1597","1871","1830","1834","1261","739","414","128","128","126","576","539","101","277","212","214","82","44","75","111","86","209","223","",
"Benin","BEN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","11","15","14","80","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","350","415","298","333","428","484","520","620","787","1545","4579.66","4327","4649.66","5264.14","5892.45","3136.91","4150","",
"Burkina Faso","BFA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","74","33","30","26","7","6","6","5","5","0","0","0","30","45","40","25","5","5","5","5","5","65","250","348","475","275","280","300","302","240","236","236","336","417","453","600","647","878","",
"Bangladesh","BGD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","49237","50569","51944","53362","54824","58030","57897","59519","59460","62927","64716","68080","68508","70525","70970","73340","77063","77230","82760","87360","91030","96780","101630","107000","117025","123811","144723","166100","175925","183505","192592","210993","226863","237743","264190","317073","379087","485864","574812","593202","657120","712640","786604","856956","914752","882091","892049","945812","1005542","1064285","1308515","1523759","1726066","1859808","1956925","2060408","2203554","2333352","2405416","2488600","2583866","2638745","",
"Bulgaria","BGR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","900","900","1000","800","4100","5100","4400","6800","5900","5800","5600","5300","4600","4900","5800","6188","6250","8134","7767","10042","11500","12720","14636","12919","14571","10560","12138","12647","12141","11615","7849","7798","8132","7897","6100","4615","4727","5437","4252","7780","3654","2938","2308","4465","2489","3145","3257","4032","5157","6722.52","7920.63","5527.15","5975.06","12151.65","11171.79","13536.54","15762.16","15752.14","16341.82","16513.59","15051.79","15173.62","",
"Bahrain","BHR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","3","12","0","3","4","8","3","2","1","2","2","3.19","3.42","1.72","0","5.7","6","14.21","10.5","10.5","10.5","15.5","15.5","",
"Bahamas, The","BHS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","42","42","37","51","69","49","6","10","8","4","24","1","1","1","1","2","13","25","52","30","85","52","30","20","17","1","1","1","1","9.35","9.33","9","6","6.84","6","6","0","",
